tconst,primaryTitle,averageRating,numVotes,startYear,genres
tt0101540,Cape Fear,7.3,209354,1991,"Crime,Thriller"
tt0101545,Career Opportunities,5.8,16661,1991,"Comedy,Romance"
tt0101587,City Slickers,6.8,61442,1991,"Comedy,Western"
tt0101588,City of Hope,7.3,2654,1991,"Crime,Drama"
tt0101590,Class Action,6.4,8088,1991,"Drama,Thriller"
tt0101591,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,4.4,2422,1991,"Comedy,Fantasy,Horror"
tt0101592,Clearcut,6.9,1231,1991,"Drama,Thriller,Western"
tt0101595,Close My Eyes,6.2,3532,1991,"Drama,Romance"
tt0101597,Closet Land,7.0,2983,1991,"Drama,Thriller"
tt0101605,The Commitments,7.6,37530,1991,"Comedy,Drama,Music"
tt0101606,Company Business,5.6,3157,1991,"Action,Comedy,Crime"
tt0101615,Cool as Ice,2.9,10143,1991,"Comedy,Drama,Music"
tt0101616,Coolie No. 1,6.6,5584,1995,"Action,Comedy,Romance"
tt0101625,Once Upon a Crime...,5.8,5076,1992,"Comedy,Crime,Mystery"
tt0101627,Critters 3,4.4,12901,1991,"Comedy,Horror,Sci-Fi"
tt0101628,Critters 4,4.1,8076,1992,"Horror,Sci-Fi"
tt0101629,Crooked Hearts,5.9,1124,1991,"Drama,Romance"
